filename,width,height,class,xmin,ymin,xmax,ymax
00bc0cacffdebe6b11bdeec56f63ee49_jpg.rf.1a1407058a6170f001f2c269411d31d3.jpg,416,416,black-queen,193,40,220,115
00bc0cacffdebe6b11bdeec56f63ee49_jpg.rf.20e061b75dc554ebe40b33189e320831.jpg,416,416,black-queen,189,62,215,138
00bc0cacffdebe6b11bdeec56f63ee49_jpg.rf.38c0bb7971151bf4cb185f5498fddcc0.jpg,416,416,black-queen,191,55,218,131
0115e4df73475b550e5c6f7a88b2474f_jpg.rf.22f030d1bd7a26c987f287d2de4b19c7.jpg,416,416,white-king,195,3,219,62
0115e4df73475b550e5c6f7a88b2474f_jpg.rf.254cb905329fee7e2df63d14b15368db.jpg,416,416,white-king,205,3,230,65
0115e4df73475b550e5c6f7a88b2474f_jpg.rf.9d4f5de6e48861cf9108e46aee8dbb8f.jpg,416,416,white-king,208,7,231,71
02f0931b536dfba10affc3231a3d64fb_jpg.rf.087fbe5ea178dd757f4eb065ae5cf941.jpg,416,416,white-bishop,207,136,229,195
02f0931b536dfba10affc3231a3d64fb_jpg.rf.51d15aa9df1efc29ceca818ecbce37e1.jpg,416,416,white-bishop,183,153,207,214
02f0931b536dfba10affc3231a3d64fb_jpg.rf.d1c527f45625192911705f97416af54b.jpg,416,416,white-bishop,200,157,222,217
0301b7f9ed4d5ba503fda79fc4370c29_jpg.rf.56da1174519560712119d3fc195068cb.jpg,416,416,white-pawn,182,211,203,256
0301b7f9ed4d5ba503fda79fc4370c29_jpg.rf.7871491670bed0423e3beceb3fae8016.jpg,416,416,white-pawn,166,211,188,259
0301b7f9ed4d5ba503fda79fc4370c29_jpg.rf.91a1164b0c74bbe8ab32435e44b990a4.jpg,416,416,white-pawn,229,212,250,258
03886821377011fec599e8fa12d86e89_jpg.rf.44fb00bcea92435e28c1ea1a89595b32.jpg,416,416,black-pawn,207,174,227,218
03886821377011fec599e8fa12d86e89_jpg.rf.7ec3f29be4f3793b35a2c4a9880d831c.jpg,416,416,black-pawn,173,175,193,220
03886821377011fec599e8fa12d86e89_jpg.rf.98865e45954a6f1a7c8cdd2c0be465e2.jpg,416,416,black-pawn,182,167,203,210
03d3ff4582c8125d69c19a72f846bec8_jpg.rf.0abd6e8d01091ac5396f7a9cf390bdc9.jpg,416,416,black-queen,308,93,340,163
03d3ff4582c8125d69c19a72f846bec8_jpg.rf.0abd6e8d01091ac5396f7a9cf390bdc9.jpg,416,416,black-king,310,119,344,199
03d3ff4582c8125d69c19a72f846bec8_jpg.rf.0abd6e8d01091ac5396f7a9cf390bdc9.jpg,416,416,black-bishop,321,184,348,242
03d3ff4582c8125d69c19a72f846bec8_jpg.rf.0abd6e8d01091ac5396f7a9cf390bdc9.jpg,416,416,black-bishop,301,63,325,117
03d3ff4582c8125d69c19a72f846bec8_jpg.rf.0abd6e8d01091ac5396f7a9cf390bdc9.jpg,416,416,black-knight,296,32,321,82
03d3ff4582c8125d69c19a72f846bec8_jpg.rf.0abd6e8d01091ac5396f7a9cf390bdc9.jpg,416,416,black-knight,325,237,358,289
03d3ff4582c8125d69c19a72f846bec8_jpg.rf.0abd6e8d01091ac5396f7a9cf390bdc9.jpg,416,416,black-rook,331,290,363,346
03d3ff4582c8125d69c19a72f846bec8_jpg.rf.0abd6e8d01091ac5396f7a9cf390bdc9.jpg,416,416,black-rook,297,8,319,49
03d3ff4582c8125d69c19a72f846bec8_jpg.rf.0abd6e8d01091ac5396f7a9cf390bdc9.jpg,416,416,black-pawn,264,7,282,47
03d3ff4582c8125d69c19a72f846bec8_jpg.rf.0abd6e8d01091ac5396f7a9cf390bdc9.jpg,416,416,black-pawn,266,41,283,81
03d3ff4582c8125d69c19a72f846bec8_jpg.rf.0abd6e8d01091ac5396f7a9cf390bdc9.jpg,416,416,black-pawn,270,76,288,117
03d3ff4582c8125d69c19a72f846bec8_jpg.rf.0abd6e8d01091ac5396f7a9cf390bdc9.jpg,416,416,black-pawn,273,110,291,152
03d3ff4582c8125d69c19a72f846bec8_jpg.rf.0abd6e8d01091ac5396f7a9cf390bdc9.jpg,416,416,black-pawn,276,151,297,193
03d3ff4582c8125d69c19a72f846bec8_jpg.rf.0abd6e8d01091ac5396f7a9cf390bdc9.jpg,416,416,black-pawn,279,196,302,241
03d3ff4582c8125d69c19a72f846bec8_jpg.rf.0abd6e8d01091ac5396f7a9cf390bdc9.jpg,416,416,black-pawn,286,242,307,290
